Total Sentiment Score,Follower Count,Tweet
-0.27764,1183,"RT @1776Stonewall: a new Emerson Poll has Trump beating every Democrat contender, as well as a new Axios pill has him winning Pennsylvania,…"
-0.29088,66,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
0.9451799999999999,4376,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.9451799999999999,59,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.9451799999999999,28,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.23897,2039,@Michigan_Ant @MissJessica616 Vivint... it’s similar to ADT
-0.49146999999999996,376,RT @craigrwall: Crazy video: Watch as Park district truck slides off into Lake Michigan. The two employees inside got out safely. ⁦@ABC7Chi…
0.0,651,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0,3812,"NCAAB
Yale -4 -110 1u
Michigan +1.5 -110 1u"
0.50396,46,"RT @FemalesForDJT: Our President is SURGING in key swing states!
💥Pennsylvania
💥Michigan
💥Wisconsin

🚨This President is fighting for you &amp;…"
0.70284,2214,RT @JJTranslates: I was thinking earlier this morning about how SE Michigan is putting 1.4 billion towards 8 miles of highway and how that…
0.63003,187,"Noticeable line Change in the Michigan vs Illinois game tonight. 

Michigan went from the favorite to the dog I lik… https://t.co/dAmCZBhS1J"
0,101,"@KQEDForum @Valerie_Valise @lonelyplanet Dark Sky Park, Northern Michigan"
0,39767,RT @sportswithfacts: Welcome to the THUNDERDOME Michigan! https://t.co/2ekuvv3kTN
0.0,321,@WolverineCorner Michigan 80-74 livers 23
0.27555,160,@stizzell @l_tobyron Beating Michigan is always wonderful but never impressive.
0.9451799999999999,11917,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.9451799999999999,416,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.8306200000000001,364,"RT @UMichPath: Want to learn more about some of the work done by our experts here at @MLabsUM?

Click the link below for more information a…"
0.9451799999999999,260,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0,115,https://t.co/Ci9ozlqEut
-0.29088,26,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
-0.49146999999999996,897,RT @craigrwall: Crazy video: Watch as Park district truck slides off into Lake Michigan. The two employees inside got out safely. ⁦@ABC7Chi…
0.0,43,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
-0.15225999999999998,519,"RT @dianepathieu: WATCH THIS!!! AMAZINGLY THEY ARE OK!! 

2 Park District employees in their salt truck slipped off of the Lakefront trail…"
-0.29088,205,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
0.9451799999999999,2634,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
1.1883,1638,Everyone's favorite day- Therapaws Day at the University of Michigan School of Dentistry-Good luck on those exams!… https://t.co/rIj7SOr58Y
-0.49146999999999996,694,RT @craigrwall: Crazy video: Watch as Park district truck slides off into Lake Michigan. The two employees inside got out safely. ⁦@ABC7Chi…
0.11283,3910,"RT @FHPSnews: Congratulations to @NHMSHuskies principal, Dr. David Simpson. He was recognized by the Michigan Elementary and Middle School…"
0.6095,385,RT @CSTbreaking: UPDATE: Park District truck slides on ice into Lake Michigan near Chicago Avenue; 2 workers escape unharmed https://t.co/e…
0.9451799999999999,22,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.95274,3,"Today is an exciting day at Majestic Beds! Our @Kickstarter benefitting @MakeAWish Michigan has launched! 

Help us… https://t.co/DBhqlVfdHv"
0.08411,2256,"Chicago (IL) Sun-Times: Salt truck slips on ice, plunges into Lake Michigan near Chicago Avenue"
0.12622,2230,"RT @marchmadness: Proving the doubters wrong. 💪

#KatzRankz - Most Surprising Teams, as heard on the #MM365 podcast!

1. Michigan
2. DePaul…"
0.46805,228,RT @RashidaTlaib: He doesn't win Michigan. #NotMeUs https://t.co/nu1bjT50tV
0.6013000000000001,773,"@BigDrewandJim @JeffRisdon Damn, Urban Meyer to the Lions is an excellent sports talk radio trolling topic for here… https://t.co/36hXRvyZpX"
0.8608499999999999,398,@PicassoFa_ @ZacharyOLecky Might come back from Michigan with exciting news 😈😈
0.15002,366,@KingMcCain14 Game opened at Michigan -1 for a reason. Neutral would be  Michigan -3.5. Illinois is 5-10 as a home… https://t.co/lh29gyIjX9
0.22859,47,@WolverineCorner 78-68 Michigan. livers will have 19
0.9451799999999999,19937,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.08777999999999998,8,RT @legaladvice_txt: Live in Michigan. Employment terminated due to 'being late' by 0 Minutes (self.legaladvice) https://t.co/OytoRLo6zV
0.9451799999999999,88,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.83614,488,Any group or charity in SE Michigan need wheelchairs and walkers? Please contact me.
-0.07232000000000001,676,"RT @wendellpotter: If indeed the @petebuttigieg client was Blue Cross, this report by the Attorney General of Michigan in 2007 has a lot to…"
0.0,577,"RT @sports_handle: MICHIGAN:

Votes are in:

- Legalizing Sports Betting (4916): Passes 35-3.
- Legalizing iGaming/Poker(4311): Passes 35-3…"
1.8594099999999998,4067,"Enrollees in Michigan’s #Medicaid expansion, which has a strong emphasis on primary care and assessing health risks… https://t.co/SkG0TIZt7M"
